gene	gene_name	annotation	avg_copies	gene_length	excl_window	excl_gap_len	n_species_genus	n_species_clinical	n_genomes_aligned	ref_match	region_start	region_end	region_length
rpiA	rpiA	Ribose-5-phosphate isomerase A	1.00	1164	141-1164	1024	10	0	97	exact	246	368	123
ribF	ribF	Bifunctional riboflavin kinase/FMN adenylyltransferase	1.00	924	118-924	807	10	0	97	exact	700	820	121
mqnD	mqnD	14-dihydroxy-6-naphtoate synthase	1.00	771	1-771	771	6	0	97	exact	449	568	120
dut	dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	1.00	438	1-438	438	7	0	97	exact	221	339	119
group_357		hypothetical protein	1.00	273	1-273	273	6	0	97	exact	44	161	118
gcvH	gcvH	Glycine cleavage system H protein	1.00	354	1-354	354	7	0	97	exact	238	354	117
group_236		hypothetical protein	1.00	408	1-408	408	7	0	97	exact	48	164	117
atpE	atpE	V-type proton ATPase subunit E	1.00	627	1-627	627	10	0	97	exact	512	627	116
trmL	trmL	tRNA (cytidine(34)-2'-O)-methyltransferase	1.00	456	1-456	456	10	0	97	exact	341	456	116
cdu1	cdu1	Deubiquitinase and deneddylase Dub1	1.00	1257	1-1257	1257	2	0	97	exact	588	702	115
ahpC	ahpC	Alkyl hydroperoxide reductase C	1.00	588	1-588	588	10	0	97	exact	404	513	110
group_321		hypothetical protein	1.00	1188	1-1188	1188	9	0	97	exact	45	154	110
group_339		hypothetical protein	1.00	519	1-519	519	10	0	97	exact	119	228	110
kdsA	kdsA	2-dehydro-3-deoxyphosphooctonate aldolase	1.00	810	1-810	810	10	0	97	exact	695	804	110
pmpH	pmpH	putative outer membrane protein PmpH	1.00	3057	1-3057	3057	2	0	97	exact	2467	2576	110
group_348		hypothetical protein	1.00	369	1-369	369	0	0	97	exact	154	262	109
lplT	lplT	Lysophospholipid transporter LplT	1.00	1680	1-1680	1680	10	0	97	exact	11	119	109
group_16		hypothetical protein	1.00	1827	1-1827	1827	2	0	97	exact	1177	1284	108
group_287		hypothetical protein	1.00	537	1-537	537	2	0	97	exact	248	355	108
incF	incF	Inclusion membrane protein F	1.00	303	1-303	303	2	0	97	exact	131	238	108
group_271		hypothetical protein	1.00	228	1-228	228	2	0	97	exact	43	149	107
lptB	lptB	Lipopolysaccharide export system ATP-binding protein LptB	1.00	720	1-720	720	10	1	97	exact	271	377	107
group_212		hypothetical protein	1.00	480	1-480	480	10	0	97	exact	207	312	106
oppF	oppF	Oligopeptide transport ATP-binding protein OppF	1.00	831	1-831	831	10	0	97	exact	368	473	106
group_19		hypothetical protein	1.00	897	1-897	897	2	0	97	exact	130	234	105
lspA	lspA	Lipoprotein signal peptidase	1.00	504	1-504	504	3	0	97	exact	94	198	105
acpS	acpS	Holo-[acyl-carrier-protein] synthase	1.00	360	1-360	360	9	0	97	exact	1	103	103
group_209		hypothetical protein	1.00	489	1-489	489	8	0	97	exact	79	179	101
rnhB	rnhB	Ribonuclease HII	1.00	654	1-654	654	10	0	97	exact	494	594	101
groL1	groL1	60 kDa chaperonin 1	1.00	1602	1-1602	1602	2	0	97	exact	749	848	100
rsmI	rsmI	Ribosomal RNA small subunit methyltransferase I	1.00	714	1-714	714	8	0	97	exact	60	159	100
